"basic","image","pid","parameter","display_pid","maintenance"
"{""category"":""Labiatae, Agastache"",""origin"":""China"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""floral_language"":""Agastache x \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks."",""production"":""China"",""color"":""Flower color light purple""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIGh5YnJpZHMgJ3NhbmRzdG9uZScuanBn?imageView2/1/w/%d/h/%d","agastache hybrids 'sandstone'","{""min_env_humid"":30,""max_soil_moist"":60,""min_light_lux"":4000,""max_env_humid"":80,""max_temp"":35,""min_soil_ec"":350,""max_light_mmol"":6000,""min_light_mmol"":4000,""min_soil_moist"":15,""max_light_lux"":60000,""max_soil_ec"":2000,""min_temp"":5}","Agastache Hybrids 'Sandstone'","{""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""sunlight"":""Like adequate light"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients""}"
"{""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""origin"":""China"",""color"":""Flower color yellow"",""production"":""China"",""floral_language"":""Agastache x \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks."",""category"":""Labiatae, Agastache""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIGh5YnJpZHMgJ3N1bicuanBn?imageView2/1/w/%d/h/%d","agastache hybrids 'sun'","{""max_light_mmol"":6000,""max_env_humid"":80,""max_soil_moist"":60,""min_env_humid"":30,""min_light_mmol"":4000,""max_light_lux"":60000,""max_temp"":35,""min_temp"":5,""max_soil_ec"":2000,""min_soil_ec"":350,""min_light_lux"":4000,""min_soil_moist"":15}","Agastache Hybrids 'Sun'","{""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light"",""watering"":""Water thoroughly after soil surface dries"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""origin"":""China"",""floral_language"":""Agastache x \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks."",""category"":""Labiatae, Agastache"",""color"":""Flower color light purple"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIGh5YnJpZHMgJ3N1bnNldCcuanBn?imageView2/1/w/%d/h/%d","agastache hybrids 'sunset'","{""min_light_mmol"":4000,""max_soil_ec"":2000,""min_soil_moist"":15,""min_light_lux"":4000,""max_light_lux"":60000,""max_temp"":35,""max_soil_moist"":60,""min_env_humid"":30,""max_env_humid"":80,""max_light_mmol"":6000,""min_soil_ec"":350,""min_temp"":5}","Agastache Hybrids 'Sunset'","{""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light""}"
"{""production"":""China"",""floral_language"":""Agastache mexicana \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks."",""origin"":""China"",""category"":""Labiatae, Agastache"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""color"":""Flower color purple red""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIG1leGljYW5hLmpwZw==?imageView2/1/w/%d/h/%d","agastache mexicana","{""max_soil_ec"":2000,""min_env_humid"":30,""max_light_lux"":60000,""min_light_lux"":4000,""max_light_mmol"":6000,""min_soil_ec"":350,""max_soil_moist"":60,""max_env_humid"":80,""min_light_mmol"":4000,""min_soil_moist"":15,""min_temp"":5,""max_temp"":35}","Agastache mexicana","{""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries"",""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""sunlight"":""Like adequate light""}"
"{""floral_language"":""Agastache rugosa\nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks."",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""color"":""Flower color light purple"",""category"":""Labiatae, Agastache"",""production"":""China"",""origin"":""China""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIHJ1Z29zYS5qcGc=?imageView2/1/w/%d/h/%d","agastache rugosa","{""min_light_lux"":4000,""max_light_mmol"":6000,""max_light_lux"":60000,""min_soil_ec"":350,""min_env_humid"":30,""min_temp"":5,""min_soil_moist"":15,""max_temp"":35,""max_env_humid"":80,""min_light_mmol"":4000,""max_soil_moist"":60,""max_soil_ec"":2000}","Agastache rugosa","{""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""sunlight"":""Like adequate light""}"
"{""color"":""Flower color light purple"",""origin"":""China"",""category"":""Labiatae, Agastache"",""production"":""China"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks"",""floral_language"":""Agastache rupestris \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks.""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIHJ1cGVzdHJpcy5qcGc=?imageView2/1/w/%d/h/%d","agastache rupestris","{""max_soil_ec"":2000,""min_temp"":5,""max_temp"":35,""max_light_lux"":60000,""max_soil_moist"":60,""min_env_humid"":30,""min_soil_moist"":15,""min_soil_ec"":350,""min_light_mmol"":4000,""max_light_mmol"":6000,""min_light_lux"":4000,""max_env_humid"":80}","Agastache rupestris","{""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely"",""watering"":""Water thoroughly after soil surface dries"",""soil"":""Peat or soil with specific nutrients"",""sunlight"":""Like adequate light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""origin"":""China"",""production"":""China"",""floral_language"":""Agastache x \nFloriography: trustable, lovely, strong\nIs a herbal plant, leaves dark green color, long oval shape with wavy and toothed edges, slightly wrinkled, inflorescence is like spikes of wheat with cute flowers in paly pruple, has sweet fragrance, can be used for flowering beds, also as a herbal medicine for anti-bacterium. \nLikes sunshine, blooms in June-September for 2-3 weeks."",""category"":""Labiatae, Agastache"",""color"":""Flower color light purple"",""blooming"":""Flowering period June-September, viewing period 2-3 weeks""}","http://pkb.resource.huahuacaocao.com/YWdhc3RhY2hlIHguanBn?imageView2/1/w/%d/h/%d","agastache x","{""min_light_mmol"":4000,""min_env_humid"":30,""min_soil_moist"":15,""max_env_humid"":80,""max_soil_ec"":2000,""max_soil_moist"":60,""max_light_mmol"":6000,""max_light_lux"":60000,""min_soil_ec"":350,""max_temp"":35,""min_light_lux"":4000,""min_temp"":5}","Agastache x","{""fertilization"":""Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly"",""sunlight"":""Like adequate light"",""soil"":""Peat or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Water thoroughly after soil surface dries"",""pruning"":""Remove withered flowers, old, diseased, and dead leaves timely""}"
"{""color"":""Leaf color green or green and yellow in mixture"",""production"":""China"",""blooming"":""Succulent plants, sometimes flowers, yellow green flowers"",""category"":""Agavaceae, Agave"",""origin"":""Americas"",""floral_language"":""Agave americana \nFloriography: selfless, fortitude, love.\nAgave americana is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally.""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgYW1lcmljYW5hLmpwZw==?imageView2/1/w/%d/h/%d","agave americana","{""min_light_mmol"":3200,""min_env_humid"":15,""min_temp"":7,""min_soil_moist"":7,""max_light_lux"":75000,""max_env_humid"":80,""min_soil_ec"":300,""max_soil_ec"":1000,""min_light_lux"":3500,""max_temp"":35,""max_soil_moist"":50,""max_light_mmol"":7000}","Agave americana","{""pruning"":""Remove dead, yellowish and disease leaves timely"",""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly"",""soil"":""Peat soil or soil with specific nutrients"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy"",""sunlight"":""Likes adequate sunshine, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""category"":""Agavaceae, Agave"",""origin"":""Americas"",""color"":""Leaf color green and yellow in mixture"",""production"":""China"",""blooming"":""Succulent plants, sometimes flowers, yellow green flowers"",""floral_language"":""Agave americana var.marginata \nFloriography: selfless, fortitude, love.\nAgave americana var.marginata is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally.""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgYW1lcmljYW5hIHZhci5tYXJnaW5hdGEuanBn?imageView2/1/w/%d/h/%d","agave americana var.marginata","{""min_soil_ec"":300,""max_soil_moist"":50,""min_env_humid"":15,""max_temp"":35,""min_light_lux"":3500,""max_env_humid"":80,""max_soil_ec"":1000,""min_temp"":7,""max_light_lux"":75000,""min_soil_moist"":7,""min_light_mmol"":3200,""max_light_mmol"":7000}","Agave americana var.marginata","{""sunlight"":""Likes adequate sunshine, shade properly under summer strong light"",""soil"":""Peat soil or soil with specific nutrients"",""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy"",""pruning"":""Remove dead, yellowish and disease leaves timely"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""blooming"":""Succulent plants, sometimes flowers, yellow green flowers"",""floral_language"":""Agave americana var.marginata-alba \nFloriography: selfless, fortitude, love.\nAgave americana var.marginata-alba is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally."",""color"":""Leaf color green and silver white in mixture"",""production"":""China"",""origin"":""Americas"",""category"":""Agavaceae, Agave""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgYW1lcmljYW5hIHZhci5tYXJnaW5hdGEgYWxiYS5qcGc=?imageView2/1/w/%d/h/%d","agave americana var.marginata alba","{""max_light_lux"":75000,""max_env_humid"":80,""max_temp"":35,""max_soil_moist"":50,""min_light_mmol"":3200,""min_soil_moist"":7,""min_soil_ec"":300,""min_temp"":7,""max_light_mmol"":7000,""min_env_humid"":15,""max_soil_ec"":1000,""min_light_lux"":3500}","Agave americana var.marginata alba","{""soil"":""Peat soil or soil with specific nutrients"",""sunlight"":""Likes adequate sunshine, shade properly under summer strong light"",""pruning"":""Remove dead, yellowish and disease leaves timely"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy"",""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm""}"
"{""category"":""Agavaceae, Agave"",""blooming"":""Succulent plants, sometimes flowers, yellow green flowers"",""production"":""China"",""floral_language"":""Agave attenuata \nFloriography: selfless, fortitude, love.\nAgave attenuata is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally."",""origin"":""Americas"",""color"":""Leaf color green""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgYXR0ZW51YXRhLmpwZw==?imageView2/1/w/%d/h/%d","agave attenuata","{""max_soil_moist"":50,""min_temp"":7,""max_light_lux"":75000,""min_light_mmol"":3200,""min_soil_moist"":7,""min_env_humid"":15,""min_soil_ec"":300,""min_light_lux"":3500,""max_light_mmol"":7000,""max_temp"":35,""max_soil_ec"":1000,""max_env_humid"":80}","Agave attenuata","{""pruning"":""Remove dead, yellowish and disease leaves timely"",""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""soil"":""Peat soil or soil with specific nutrients"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy"",""sunlight"":""Likes adequate sunshine, shade properly under summer strong light""}"
"{""color"":""Leaf color green or green and yellow in mixture"",""floral_language"":""Agave macroacantha \nFloriography: selfless, fortitude, love.\nAgave macroacantha is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally."",""category"":""Agavaceae, Agave"",""origin"":""Americas"",""production"":""China"",""blooming"":""Succulent plants, sometimes flowers, yellow green flowers""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgbWFjcm9hY2FudGhhLmpwZw==?imageView2/1/w/%d/h/%d","agave macroacantha","{""max_env_humid"":80,""max_soil_ec"":1000,""min_temp"":7,""min_light_mmol"":3200,""max_temp"":35,""max_soil_moist"":50,""min_soil_moist"":7,""max_light_lux"":75000,""min_env_humid"":15,""min_light_lux"":3500,""max_light_mmol"":7000,""min_soil_ec"":300}","Agave macroacantha","{""soil"":""Peat soil or soil with specific nutrients"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy"",""pruning"":""Remove dead, yellowish and disease leaves timely"",""sunlight"":""Likes adequate sunshine, shade properly under summer strong light"",""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly""}"
"{""origin"":""Americas"",""color"":""Leaf color green or green and yellow in mixture"",""floral_language"":""Agave stricta \nFloriography: selfless, fortitude, love.\nAgave stricta is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally."",""category"":""Agavaceae, Agave"",""blooming"":""Succulent plants, sometimes flowers, yellow green flowers"",""production"":""China""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgc3RyaWN0YS5qcGc=?imageView2/1/w/%d/h/%d","agave stricta","{""max_env_humid"":80,""min_soil_ec"":300,""max_temp"":35,""min_light_lux"":3500,""max_light_mmol"":7000,""min_env_humid"":15,""min_soil_moist"":7,""max_soil_ec"":1000,""min_light_mmol"":3200,""max_soil_moist"":50,""min_temp"":7,""max_light_lux"":75000}","Agave stricta","{""pruning"":""Remove dead, yellowish and disease leaves timely"",""soil"":""Peat soil or soil with specific nutrients"",""sunlight"":""Likes adequate sunshine, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy"",""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly""}"
"{""color"":""Leaf color green or green and yellow in mixture"",""blooming"":""Succulent plants, sometimes flowers, yellow green flowers"",""category"":""Agavaceae, Agave"",""production"":""China"",""origin"":""Americas"",""floral_language"":""Agave univittata \nFloriography: selfless, fortitude, love.\nAgave univittata is a compact evergreen succulent plant. Leaves rosulately arranged, triangular or lanceolate with spines at edges. Besides ornamental cultivation, its applications include anti-bacteria, anti-inflammation, and etc.\nThis plant requires much sunlight but should be shaded during the noon of summer. Yellowish green flowers bloom occasionally.""}","http://pkb.resource.huahuacaocao.com/YWdhdmUgdW5pdml0dGF0YS5qcGc=?imageView2/1/w/%d/h/%d","agave univittata","{""min_light_lux"":3500,""max_light_mmol"":7000,""min_soil_moist"":7,""max_light_lux"":75000,""max_temp"":35,""min_env_humid"":15,""max_soil_moist"":50,""max_env_humid"":80,""max_soil_ec"":1000,""min_light_mmol"":3200,""min_temp"":7,""min_soil_ec"":300}","Agave univittata","{""fertilization"":""Dilute fertilizers following instructions, in summer and autumn apply fertilizers once monthly"",""pruning"":""Remove dead, yellowish and disease leaves timely"",""soil"":""Peat soil or soil with specific nutrients"",""sunlight"":""Likes adequate sunshine, shade properly under summer strong light"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""watering"":""Resistant to drought, water thoroughly when soil is dry, water more frequently in summer, reduce water in winter dormancy""}"
"{""category"":""Araceae, Rohdea"",""floral_language"":""Aglaonema commutatum 'Pseudobracteatum'\nFloriography: health, longevity, vitality \nAglaonema nitidum is a kind of evergreen foliage plants. Because of its sleek large blades it is appreciated by the public. \nAglaonema commutatum 'Pseudobracteatum' plant stature is elegant, has many branches. Leaf blades are elliptic, slightly leathery, dark green, decorated with white or light yellow patches on the surface, which greatly increase the ornamental value.   Aglaonema commutatum 'Pseudobracteatum' is resistant to shade, is suitable for the scattered light in the bright place. Maintained properly, it also can flower during May and June. Flowers are pale yellow."",""color"":""Leaf color green"",""production"":""China"",""blooming"":""Foliage plants, sometimes flowers, yellow green flowers"",""origin"":""subtropical zone""}","http://pkb.resource.huahuacaocao.com/YWdsYW9uZW1hIGNvbW11dGF0dW0gJ3BzZXVkb2JyYWN0ZWF0dW0nLmpwZw==?imageView2/1/w/%d/h/%d","aglaonema commutatum 'pseudobracteatum'","{""max_env_humid"":85,""min_light_mmol"":1700,""max_soil_moist"":60,""min_temp"":12,""max_light_mmol"":3500,""max_light_lux"":25000,""min_light_lux"":2000,""max_temp"":32,""max_soil_ec"":2000,""min_soil_moist"":15,""min_soil_ec"":350,""min_env_humid"":30}","Aglaonema commutatum 'Pseudobracteatum'","{""size"":""Diameter≥10cm，Height≥15cm"",""soil"":""Peat mixed with coarse sand soil"",""sunlight"":""Relatively resistant to shade, likes half shade environments"",""watering"":""Likes wet environments, avoid saturated water, reduce watering and fertilization in winter"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""pruning"":""Remove dead and yellowish leaves timely""}"
"{""category"":""Araceae, Aglaonema"",""color"":""Leaf color light green, with white or light yellow marks"",""floral_language"":""Aglaonema commutatum cv.Silver Queen\nFloriography: health, longevity, vitality \nAglaonema nitidum is a kind of evergreen foliage plants. Because of its sleek large blades it is appreciated by the public. \nAglaonema commutatum cv.Silver Queen plant stature is elegant, has many branches. Leaf blades are elliptic, slightly leathery, dark green, decorated with white or light yellow patches on the surface, which greatly increase the ornamental value.   Aglaonema commutatum cv.Silver Queen is resistant to shade, is suitable for the scattered light in the bright place. Maintained properly, it also can flower during May and June. Flowers are pale yellow."",""origin"":""Subtropical areas"",""production"":""China"",""blooming"":""Foliage plants, sometimes flowers in May-June, spathe flowers""}","http://pkb.resource.huahuacaocao.com/YWdsYW9uZW1hIGNvbW11dGF0dW0gY3Yuc2lsdmVyIHF1ZWVuLmpwZw==?imageView2/1/w/%d/h/%d","aglaonema commutatum cv.silver queen","{""max_soil_ec"":2000,""min_soil_ec"":350,""min_env_humid"":30,""min_light_mmol"":1700,""max_light_mmol"":3500,""min_light_lux"":2000,""max_light_lux"":25000,""min_temp"":12,""max_temp"":32,""max_soil_moist"":60,""min_soil_moist"":15,""max_env_humid"":85}","Aglaonema commutatum cv.Silver Queen","{""sunlight"":""Relatively resistant to shade, likes half shade environments"",""soil"":""Peat mixed with coarse sand soil"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""pruning"":""Remove dead and yellowish leaves timely"",""watering"":""Likes wet environments, avoid saturated water, reduce watering and fertilization in winter"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring""}"
"{""origin"":""Asia"",""floral_language"":""Aglaonema nitidum\nFloriography: health, longevity, vitality \nAglaonema nitidum is a kind of evergreen foliage plants. Because of its sleek large blades it is appreciated by the public. \nAglaonema nitidum plant stature is elegant, has many branches. Leaf blades are elliptic, slightly leathery, dark green, decorated with white or light yellow patches on the surface, which greatly increase the ornamental value.   Aglaonema nitidum is resistant to shade, is suitable for the scattered light in the bright place. Maintained properly, it also can flower during May and June. Flowers are pale yellow."",""production"":""China"",""blooming"":""Foliage plants, sometimes flowers in May-June, light yellow flowers"",""color"":""Leaf color emerald green"",""category"":""Araceae, Aglaonema""}","http://pkb.resource.huahuacaocao.com/YWdsYW9uZW1hIG5pdGlkdW0uanBn?imageView2/1/w/%d/h/%d","aglaonema nitidum","{""max_soil_moist"":60,""min_light_lux"":1500,""max_light_lux"":25000,""min_light_mmol"":1700,""max_light_mmol"":3500,""max_temp"":32,""max_soil_ec"":1500,""min_soil_moist"":15,""max_env_humid"":85,""min_temp"":12,""min_env_humid"":30,""min_soil_ec"":200}","Aglaonema nitidum","{""soil"":""Peat mixed with coarse sand soil"",""size"":""Diameter ≥ 10 cm, height ≥ 15 cm"",""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""sunlight"":""Relatively resistant to shade, likes half shade environments"",""pruning"":""Remove dead and yellowish leaves timely"",""watering"":""Likes wet environments, avoid saturated water, reduce watering and fertilization in winter""}"
"{""category"":""Araceae, Rohdea"",""color"":""Leaf color green"",""origin"":""subtropical zone"",""production"":""China"",""floral_language"":""Aglaonema sp\nFloriography: health, longevity, vitality \nAglaonema nitidum is a kind of evergreen foliage plants. Because of its sleek large blades it is appreciated by the public. \nAglaonema sp plant stature is elegant, has many branches. Leaf blades are elliptic, slightly leathery, dark green, decorated with white or light yellow patches on the surface, which greatly increase the ornamental value.   Aglaonema sp is resistant to shade, is suitable for the scattered light in the bright place. Maintained properly, it also can flower during May and June. Flowers are pale yellow."",""blooming"":""Foliage plants, sometimes flowers, yellow green flowers""}","http://pkb.resource.huahuacaocao.com/YWdsYW9uZW1hIHNwLmpwZw==?imageView2/1/w/%d/h/%d","aglaonema sp","{""min_soil_moist"":15,""min_soil_ec"":350,""max_light_mmol"":3500,""min_env_humid"":30,""min_light_mmol"":1700,""max_temp"":32,""max_soil_ec"":2000,""max_env_humid"":85,""min_temp"":12,""min_light_lux"":2000,""max_light_lux"":25000,""max_soil_moist"":60}","Aglaonema sp","{""fertilization"":""Dilute fertilizers following instructions,  apply 1-2 times monthly in spring"",""pruning"":""Remove dead and yellowish leaves timely"",""watering"":""Likes wet environments, avoid saturated water, reduce watering and fertilization in winter"",""sunlight"":""Relatively resistant to shade, likes half shade environments"",""soil"":""Peat mixed with coarse sand soil"",""size"":""Diameter≥10cm，Height≥15cm""}"
